,episodes,total_waiting_time,reward
0,0,4378,-3.5833333333333335
1,1,6433,-6.260869565217392
2,2,6910,-10.8125
3,3,3374,2.5454545454545454
4,4,3337,4.333333333333333
5,5,3060,0.8
6,6,3443,2.6153846153846154
7,7,3499,8.571428571428571
8,8,3488,2.8181818181818183
9,9,2984,7.777777777777778
10,10,3262,7.285714285714286
11,11,3115,11.75
12,12,2432,14.555555555555555
13,13,3115,11.75
14,14,3599,11.75
15,15,2834,13.555555555555555
16,16,3163,11.444444444444445
17,17,2552,11.727272727272727
18,18,2492,13.4
19,19,2882,9.272727272727273
20,20,3163,10.3
21,21,2974,12.222222222222221
22,22,2615,13.333333333333334
23,23,3175,15.285714285714286
24,24,3297,16.833333333333332
25,25,2659,9.5
26,26,3349,7.0
27,27,3349,7.5
28,28,2954,11.666666666666666
29,29,2916,18.375
30,30,3373,12.555555555555555
31,31,2935,10.090909090909092
32,32,3756,10.0
33,33,3338,13.625
34,34,3373,14.0
35,35,3750,4.111111111111111
36,36,2786,9.818181818181818
37,37,3001,14.0
38,38,3177,9.75
39,39,3373,12.555555555555555
40,40,3373,14.0
41,41,2863,11.6
42,42,3155,12.75
43,43,3155,12.636363636363637
44,44,2787,11.0
45,45,3309,14.0
46,46,2830,17.88888888888889
47,47,3309,14.0
48,48,3309,12.666666666666666
49,49,3309,14.0
50,50,3309,14.0
51,51,3373,12.555555555555555
52,52,3155,12.75
53,53,3652,8.666666666666666
54,54,3240,10.571428571428571
55,55,3540,10.3
56,56,3309,14.0
57,57,3017,11.125
58,58,3309,14.0
59,59,3131,12.444444444444445
60,60,2927,12.333333333333334
61,61,3969,15.875
62,62,2787,11.0
63,63,3202,6.875
64,64,3309,14.0
65,65,2904,9.444444444444445
66,66,3373,12.555555555555555
67,67,3035,8.6
68,68,3309,14.0
69,69,3373,12.555555555555555
70,70,3029,15.875
71,71,3116,7.888888888888889
72,72,3261,9.181818181818182
73,73,3309,14.0
74,74,2904,21.142857142857142
75,75,2817,18.0
76,76,2904,9.11111111111111
77,77,2863,18.125
78,78,2904,21.142857142857142
79,79,3213,20.0
80,80,2904,21.142857142857142
81,81,2846,19.25
82,82,3309,14.0
83,83,2904,21.142857142857142
84,84,2804,16.285714285714285
85,85,2817,20.25
86,86,3172,12.0
87,87,2816,11.75
88,88,2830,17.88888888888889
89,89,2817,20.25
90,90,2817,20.25
91,91,2830,17.88888888888889
92,92,2846,19.25
93,93,2983,10.857142857142858
94,94,3569,12.285714285714286
95,95,2512,8.9
96,96,2828,17.333333333333332
97,97,2817,20.25
98,98,2839,17.88888888888889
99,99,2846,19.25
