,episodes,total_waiting_time,reward
0,0,4571,5.611111111111111
1,1,5005,4.190476190476191
2,2,5717,1.2352941176470589
3,3,7044,-7.28
4,4,7538,-5.851851851851852
5,5,12366,-12.675
6,6,10290,-10.18421052631579
7,7,7743,-3.8076923076923075
8,8,6965,-5.45
9,9,5525,4.823529411764706
10,10,6035,2.380952380952381
11,11,3805,5.411764705882353
12,12,5859,2.8823529411764706
13,13,4447,3.217391304347826
14,14,4227,5.45
15,15,4624,5.6
16,16,4778,5.526315789473684
17,17,4536,5.0
18,18,3775,5.105263157894737
19,19,5626,3.5294117647058822
20,20,5478,0.7222222222222222
21,21,4753,4.75
22,22,3620,5.1
23,23,4357,2.0
24,24,4563,3.25
25,25,3449,4.3478260869565215
26,26,4740,4.304347826086956
27,27,3854,4.782608695652174
28,28,4678,3.347826086956522
29,29,4500,3.217391304347826
30,30,4098,4.3478260869565215
31,31,7863,-2.1818181818181817
32,32,4740,4.304347826086956
33,33,3357,4.483870967741935
34,34,4168,4.391304347826087
35,35,3522,6.363636363636363
36,36,3473,5.076923076923077
37,37,3592,4.3
38,38,3371,5.52
39,39,3596,6.2272727272727275
40,40,4054,2.923076923076923
41,41,3272,5.16
42,42,2998,5.04
43,43,3749,5.08
44,44,3266,7.2727272727272725
45,45,3691,4.0
46,46,3379,3.6551724137931036
47,47,3379,3.6551724137931036
48,48,3538,3.09375
49,49,3417,3.3125
50,50,3417,3.3125
51,51,3417,3.3125
52,52,3417,3.3125
53,53,3417,3.3125
54,54,3417,3.3125
55,55,3417,3.3125
56,56,3417,3.3125
57,57,3417,3.3125
58,58,3417,3.3125
59,59,3417,3.3125
60,60,3417,3.3125
61,61,3417,3.3125
62,62,3417,3.3125
63,63,3417,3.3125
64,64,3417,3.3125
65,65,3417,3.3125
66,66,3417,3.3125
67,67,3417,3.3125
68,68,3417,3.3125
69,69,3417,3.3125
70,70,3417,3.3125
71,71,3417,3.3125
72,72,3417,3.3125
73,73,3417,3.3125
74,74,3417,3.3125
75,75,3417,3.3125
76,76,3417,3.3125
77,77,3417,3.3125
78,78,3417,3.3125
79,79,3417,3.3125
80,80,3417,3.3125
81,81,3417,3.3125
82,82,3417,3.3125
83,83,3417,3.3125
84,84,3417,3.3125
85,85,3417,3.3125
86,86,3417,3.3125
87,87,3417,3.3125
88,88,3417,3.3125
89,89,3417,3.3125
90,90,3417,3.3125
91,91,3417,3.3125
92,92,3417,3.3125
93,93,3417,3.3125
94,94,3417,3.3125
95,95,3417,3.3125
96,96,3417,3.3125
97,97,3417,3.3125
98,98,3417,3.3125
99,99,3417,3.3125
