,episodes,total_waiting_time,reward
0,0,6527,-7.090909090909091
1,1,4189,2.6666666666666665
2,2,4581,3.25
3,3,4987,13.444444444444445
4,4,3817,10.125
5,5,3824,10.083333333333334
6,6,3924,12.8
7,7,3924,12.8
8,8,3580,12.363636363636363
9,9,3763,11.727272727272727
10,10,4069,10.3
11,11,5297,3.75
12,12,4536,14.5
13,13,3689,13.8
14,14,7422,-2.652173913043478
15,15,4135,16.0
16,16,3607,13.181818181818182
17,17,3848,13.5
18,18,5503,2.1666666666666665
19,19,3449,14.3
20,20,5011,21.75
21,21,4954,20.5
22,22,4112,13.25
23,23,3407,15.6
24,24,4366,10.727272727272727
25,25,4111,14.0
26,26,3608,13.090909090909092
27,27,3882,15.444444444444445
28,28,4461,7.222222222222222
29,29,4034,11.222222222222221
30,30,3978,15.444444444444445
31,31,3970,16.545454545454547
32,32,3404,18.0
33,33,3944,15.0
34,34,4343,12.8
35,35,4033,12.5
36,36,3890,10.454545454545455
37,37,3972,12.4
38,38,3626,9.5
39,39,3966,14.727272727272727
40,40,3757,16.818181818181817
41,41,3855,22.125
42,42,3455,11.5
43,43,3462,10.692307692307692
44,44,3577,13.6
45,45,4460,12.454545454545455
46,46,3651,14.88888888888889
47,47,4690,12.11111111111111
48,48,4938,14.307692307692308
49,49,3719,14.333333333333334
50,50,4742,10.555555555555555
51,51,4365,8.857142857142858
52,52,3887,11.545454545454545
53,53,3858,17.2
54,54,3952,15.5
55,55,3897,19.666666666666668
56,56,4081,13.5
57,57,3897,14.153846153846153
58,58,3570,15.181818181818182
59,59,3815,9.0
60,60,3789,7.0
61,61,3900,13.538461538461538
62,62,4546,16.0
63,63,3513,8.727272727272727
64,64,4680,17.166666666666668
65,65,3697,11.416666666666666
66,66,4098,9.166666666666666
67,67,4026,14.11111111111111
68,68,4111,14.11111111111111
69,69,4089,8.75
70,70,5103,6.461538461538462
71,71,3470,9.857142857142858
72,72,3444,13.363636363636363
73,73,4279,12.5
74,74,4049,12.727272727272727
75,75,3284,11.285714285714286
76,76,3599,13.090909090909092
77,77,3616,12.25
78,78,4464,13.5
79,79,3309,15.9
80,80,4252,14.083333333333334
81,81,4310,12.555555555555555
82,82,3669,9.857142857142858
83,83,3788,13.777777777777779
84,84,4446,14.416666666666666
85,85,4141,11.272727272727273
86,86,4292,12.272727272727273
87,87,4409,15.333333333333334
88,88,4956,15.444444444444445
89,89,4151,15.0
90,90,3506,9.363636363636363
91,91,4504,13.142857142857142
92,92,3729,13.285714285714286
93,93,3971,19.5
94,94,4294,13.181818181818182
95,95,4292,14.307692307692308
96,96,4671,14.272727272727273
97,97,4872,18.3
98,98,4026,14.23076923076923
99,99,3985,16.75
